"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"2871","El Naranjo","11",13,"aa",129,20
"2874","El Naranjo","11",14,"aa",120,18
"2875","El Naranjo","11",14,"aa",31,6
"2878","El Naranjo","11",16,"aa",98,25
"2890","El Naranjo","11",17,"aa",78,21
"2906","El Naranjo","11",19,"aa",59,14.5
"2915","El Naranjo","11",20,"aa",131,18
"2916","El Naranjo","11",20,"aa",26,7.5
"2927","El Naranjo","11",22,"aa",57,21
"2930","El Naranjo","11",22,"aa",137,27
"2933","El Naranjo","11",23,"aa",86,18
"2935","El Naranjo","11",23,"aa",146,30
"2939","El Naranjo","11",24,"aa",146,30
"2941","El Naranjo","11",24,"aa",78,15
